,index,Año,Continente,Media Esperanza de vida,Media Obesidad
0,0,2016,América,74.26,72.03
1,6,2017,América,74.31,73.84
2,12,2018,América,74.54,76.08
3,18,2019,América,74.56,78.78
4,24,2020,América,73.64,79.45
5,30,2021,América,72.52,80.69
6,1,2016,Asia,73.7,42.12
7,7,2017,Asia,74.06,42.63
8,13,2018,Asia,74.33,43.12
9,19,2019,Asia,74.54,44.21
10,25,2020,Asia,73.69,45.08
11,31,2021,Asia,73.32,45.9
12,2,2016,Europa,79.25,100.48
13,8,2017,Europa,79.34,101.44
14,14,2018,Europa,79.47,102.94
15,20,2019,Europa,79.75,103.51
16,26,2020,Europa,78.84,104.56
17,32,2021,Europa,78.28,104.41
18,4,2016,Oceanía,70.29,106.2
19,10,2017,Oceanía,70.46,107.81
20,16,2018,Oceanía,70.56,109.31
21,22,2019,Oceanía,70.67,111.07
22,28,2020,Oceanía,70.81,112.25
23,34,2021,Oceanía,70.8,113.9
24,5,2016,África,63.04,35.79
25,11,2017,África,63.48,36.37
26,17,2018,África,63.76,37.26
27,23,2019,África,64.1,38.12
28,29,2020,África,63.73,38.55
29,35,2021,África,62.98,39.13
